EmployeeID,firstname,lastname,startdate,exitdate,DaysInService,EmployeeCategory
1116,Ryker,Logan,2019-03-09,2023-07-12,1586,LongTerm
1117,Payten,Middleton,2019-02-21,2019-03-06,13,ShortTerm
1118,Harrison,Hunt,2019-10-04,2022-11-26,1149,LongTerm
1119,Orlando,Henderson,2019-11-24,2020-12-20,392,MidTerm
1120,Darian,Potts,2020-08-17,,NULL,LongTerm
1121,Isabela,Collins,2021-03-16,,NULL,LongTerm
1122,Sierra,Macias,2021-11-16,2022-08-26,283,ShortTerm
1123,Giuliana,Farmer,2022-05-03,,NULL,LongTerm
1124,Pierce,Robbins,2019-12-24,2022-11-11,1053,MidTerm
1125,Lamont,Bridges,2021-10-21,,NULL,LongTerm
1126,Gretchen,Richard,2018-09-08,2020-03-06,545,MidTerm
1127,Axel,Hart,2019-02-26,,NULL,LongTerm
1128,Emma,Escobar,2023-04-21,,NULL,LongTerm
1129,Maximilian,Craig,2019-09-19,2021-10-23,765,MidTerm
1130,Erik,Padilla,2020-12-23,,NULL,LongTerm
1131,Gilbert,Duffy,2019-03-29,,NULL,LongTerm
1132,Raymond,Ayers,2021-05-15,2023-05-03,718,MidTerm
1133,Vincent,Wyatt,2022-03-14,2022-10-02,202,ShortTerm
1134,Micah,Stanley,2021-12-06,2022-01-08,33,ShortTerm
1135,Evan,Chen,2021-10-27,,NULL,LongTerm
1136,Serenity,Thornton,2023-04-01,,NULL,LongTerm
1137,Talan,Rivas,2019-05-29,,NULL,LongTerm
1138,Calvin,Braun,2019-07-12,2022-07-12,1096,LongTerm
1139,Cale,Bender,2018-08-10,2022-02-21,1291,LongTerm
1140,Kirsten,Vance,2021-09-29,,NULL,LongTerm
1141,Cade,Cox,2021-08-05,,NULL,LongTerm
1142,Ibrahim,Wolfe,2023-08-02,,NULL,LongTerm
1143,Elianna,Schmitt,2018-09-02,2021-07-28,1060,MidTerm
1144,Colby,Wolfe,2019-10-13,,NULL,LongTerm
1145,Autumn,Barrera,2020-09-24,,NULL,LongTerm
1146,Emmalee,Cervantes,2023-08-06,,NULL,LongTerm
1147,Ernest,Willis,2019-06-11,2022-02-27,992,MidTerm
1148,Jaxon,Anderson,2019-02-14,,NULL,LongTerm
1149,Precious,Caldwell,2022-03-17,,NULL,LongTerm
1150,Yahir,Serrano,2020-08-05,,NULL,LongTerm
1151,Krystal,Peterson,2022-08-23,,NULL,LongTerm
1152,Jadyn,Haley,2023-01-12,,NULL,LongTerm
1153,Davis,Roberts,2020-04-14,2021-09-10,514,MidTerm
1154,Meadow,Avery,2021-09-27,2023-02-05,496,MidTerm
1155,Allyson,Owen,2018-11-17,2020-03-12,481,MidTerm
1156,Francisco,Simon,2019-07-22,2023-02-28,1317,LongTerm
1157,Trent,Christian,2019-02-10,,NULL,LongTerm
1158,Chaya,Boyd,2018-11-22,2020-07-19,605,MidTerm
1159,Nehemiah,Rivas,2023-04-23,,NULL,LongTerm
1160,Wyatt,Spence,2022-12-26,2023-05-23,148,ShortTerm
1161,Abram,Fisher,2020-06-14,,NULL,LongTerm
1162,Jayleen,Oconnell,2022-03-29,2023-05-20,417,MidTerm
1163,Jordon,Meadows,2022-12-18,,NULL,LongTerm
1164,Justice,Pineda,2019-03-21,,NULL,LongTerm
1165,Isiah,Decker,2021-02-08,,NULL,LongTerm
1166,Giada,Boone,2022-06-06,,NULL,LongTerm
1167,Camryn,Guerra,2021-11-01,,NULL,LongTerm
1168,Melody,Rollins,2023-01-19,,NULL,LongTerm
1169,Lucia,Cummings,2020-07-30,,NULL,LongTerm
1170,Jaylen,Serrano,2023-07-16,,NULL,LongTerm
1171,Jayson,Bright,2022-06-16,,NULL,LongTerm
1172,Carlie,Wilkerson,2021-06-13,2022-05-27,348,ShortTerm
1173,Kaylyn,Patrick,2020-11-14,2021-11-01,352,ShortTerm
1174,Evie,Pope,2020-06-16,2023-03-13,1000,MidTerm
1175,Nayeli,Kelley,2018-12-20,2020-12-24,735,MidTerm
1176,Krista,Franco,2022-10-29,,NULL,LongTerm
1177,Teresa,Farrell,2020-07-20,,NULL,LongTerm
1178,Dorian,Fox,2021-10-03,2021-12-19,77,ShortTerm
1179,Madeleine,Sherman,2022-07-16,,NULL,LongTerm
1180,Allan,Butler,2020-06-30,,NULL,LongTerm
1181,Nevaeh,Davila,2021-06-13,,NULL,LongTerm
1182,Gunnar,Webster,2020-12-29,2022-10-24,664,MidTerm
1183,Aydin,Tate,2022-02-03,,NULL,LongTerm
1184,Patrick,Mckinney,2022-01-10,2023-05-11,486,MidTerm
1185,Milagros,Foley,2018-12-13,,NULL,LongTerm
1186,Rachael,Buck,2021-03-03,,NULL,LongTerm
1187,Rigoberto,Townsend,2021-07-04,,NULL,LongTerm
1188,Reagan,Odonnell,2020-02-06,2021-07-21,531,MidTerm
1189,Roy,Morse,2020-06-28,2022-07-11,743,MidTerm
1190,Rafael,Buchanan,2020-12-22,2021-11-20,333,ShortTerm
1191,Kaitlynn,Herman,2019-11-24,,NULL,LongTerm
1192,Marquise,Santana,2022-09-23,,NULL,LongTerm
1193,Jamarion,Mitchell,2020-02-06,2022-01-23,717,MidTerm
1194,Gabrielle,Hardy,2019-01-14,2021-08-06,935,MidTerm
1195,Savion,Stokes,2019-06-25,2022-05-15,1055,MidTerm
1196,Trevin,Summers,2019-03-09,,NULL,LongTerm
1197,Hailie,Bell,2020-06-13,,NULL,LongTerm
1198,Audrey,Stevens,2019-01-22,,NULL,LongTerm
1199,Jason,Munoz,2020-12-12,,NULL,LongTerm
1200,Carlee,Foley,2022-04-27,,NULL,LongTerm
1201,Sarahi,Dodson,2022-04-11,2022-09-26,168,ShortTerm
1202,Faith,Carey,2022-09-01,2022-12-02,92,ShortTerm
1203,Mylie,Salazar,2018-09-08,,NULL,LongTerm
1204,Pablo,Parker,2022-11-24,2023-08-05,254,ShortTerm
1205,Ulises,Shea,2020-07-23,,NULL,LongTerm
1206,Bethany,Terry,2018-12-28,2023-05-15,1599,LongTerm
1207,Kamari,Holloway,2019-10-01,,NULL,LongTerm
1208,Jazlene,Mcdaniel,2019-08-17,2019-10-25,69,ShortTerm
1209,Dane,Kelly,2023-05-31,,NULL,LongTerm
1210,Camila,Dunn,2020-12-08,2023-06-10,914,MidTerm
1211,Aurora,Frederick,2018-11-05,2023-03-23,1599,LongTerm
1212,Caylee,Nunez,2020-08-26,2023-04-05,952,MidTerm
1213,Tamia,Sharp,2020-02-23,,NULL,LongTerm
1214,Jaliyah,Gamble,2022-02-12,,NULL,LongTerm
1215,Xander,Savage,2020-02-13,,NULL,LongTerm
1216,Marc,Crosby,2023-02-15,2023-03-09,22,ShortTerm
1217,Marques,Zimmerman,2019-12-03,2021-08-31,637,MidTerm
1218,Livia,Salazar,2018-12-31,,NULL,LongTerm
1219,Alana,Choi,2020-01-16,2021-02-09,390,MidTerm
1220,Levi,Lawson,2018-11-20,2020-02-09,446,MidTerm
1221,Kane,Black,2022-11-11,2023-07-03,234,ShortTerm
1222,Paola,Weeks,2020-12-18,2021-07-23,217,ShortTerm
1223,Brooklynn,Mack,2021-01-26,,NULL,LongTerm
1224,Darrell,Zamora,2021-11-26,2022-05-24,179,ShortTerm
1225,Irvin,Warner,2023-05-15,,NULL,LongTerm
1226,Dayton,Castro,2023-06-20,,NULL,LongTerm
1227,Hailey,Mckay,2019-08-22,2022-06-06,1019,MidTerm
1228,Jaquan,Rowland,2021-08-30,,NULL,LongTerm
1229,David,Velez,2020-01-27,,NULL,LongTerm
1230,Joslyn,Patel,2022-03-04,,NULL,LongTerm
1231,Colt,Archer,2020-03-07,,NULL,LongTerm
1232,Abbigail,Cameron,2020-03-19,,NULL,LongTerm
1233,Anastasia,Escobar,2022-07-23,,NULL,LongTerm
1234,Ronin,Mclaughlin,2019-10-18,2021-10-03,716,MidTerm
1235,Aliana,Pena,2020-04-14,,NULL,LongTerm
1236,Ramon,Goodwin,2018-11-25,2019-07-25,242,ShortTerm
1237,Cory,Saunders,2021-03-23,2022-08-26,521,MidTerm
1238,Alessandra,Huynh,2020-10-27,2021-11-08,377,MidTerm
1239,Maeve,Holmes,2022-06-11,2023-06-29,383,MidTerm
1240,Alejandra,Mclean,2020-03-19,,NULL,LongTerm
1241,Reuben,Potter,2019-11-07,2022-12-07,1126,LongTerm
1242,Marilyn,Greer,2023-04-24,,NULL,LongTerm
1243,Camila,Nichols,2020-06-04,,NULL,LongTerm
1244,Iris,Bruce,2022-05-23,,NULL,LongTerm
1245,Henry,Pratt,2019-05-17,,NULL,LongTerm
1246,Kira,Soto,2018-09-28,2021-04-25,940,MidTerm
1247,Ashanti,Scott,2019-03-04,,NULL,LongTerm
1248,Sarahi,Burke,2021-03-29,2021-12-01,247,ShortTerm
1249,Aimee,Terry,2019-07-07,2020-02-14,222,ShortTerm
1250,Jerimiah,Jackson,2018-09-06,,NULL,LongTerm
1251,Callie,Murray,2018-09-25,,NULL,LongTerm
1252,Fabian,Young,2022-03-11,2022-04-25,45,ShortTerm
1253,Juliette,Morton,2020-07-13,2021-10-06,450,MidTerm
1254,Alyvia,Sellers,2020-06-22,,NULL,LongTerm
1255,Tyler,Gay,2019-09-30,2021-03-02,519,MidTerm
1256,Noemi,Randall,2020-01-08,,NULL,LongTerm
1257,Jazlene,Lozano,2021-10-16,,NULL,LongTerm
1258,Jennifer,Salazar,2022-06-29,,NULL,LongTerm
1259,Vaughn,Leonard,2022-05-01,2023-04-24,358,ShortTerm
1260,Caitlin,Robertson,2018-08-16,,NULL,LongTerm
1261,Elyse,Huerta,2019-12-27,,NULL,LongTerm
1262,Kyle,Sanders,2021-07-01,2023-03-28,635,MidTerm
1263,Barrett,Jennings,2022-10-20,,NULL,LongTerm
1264,Darius,Koch,2019-02-15,,NULL,LongTerm
1265,Kolton,Dawson,2022-01-17,2022-07-25,189,ShortTerm
1266,Ciara,Cole,2021-11-14,2022-07-01,229,ShortTerm
1267,Virginia,Wallace,2020-11-14,2020-12-22,38,ShortTerm
1268,Malik,Ochoa,2023-02-25,,NULL,LongTerm
1269,Elyse,Pratt,2022-08-23,,NULL,LongTerm
1270,Yahir,Hill,2019-05-01,2019-12-31,244,ShortTerm
1271,Harley,Abbott,2020-04-26,,NULL,LongTerm
1272,Dawson,Pratt,2021-02-08,2022-07-15,522,MidTerm
1273,Michaela,Smith,2020-10-29,2021-01-26,89,ShortTerm
1274,Lillie,Leblanc,2022-11-22,,NULL,LongTerm
1275,Sincere,Rivera,2022-10-11,,NULL,LongTerm
1276,Lucas,Good,2019-12-28,,NULL,LongTerm
1277,Jonas,Hernandez,2019-04-11,,NULL,LongTerm
1278,Cason,Tyler,2020-10-26,,NULL,LongTerm
1279,Malachi,Singleton,2021-07-09,2023-01-27,567,MidTerm
1280,Natalie,Christensen,2022-01-12,,NULL,LongTerm
1281,Jordyn,Sheppard,2020-08-07,2021-07-20,347,ShortTerm
1282,Rohan,Matthews,2021-04-10,2022-11-19,588,MidTerm
1283,Taniya,Stafford,2021-01-11,,NULL,LongTerm
1284,Cherish,Preston,2019-12-08,,NULL,LongTerm
1285,Briley,Hanson,2021-09-26,,NULL,LongTerm
1286,Hugo,Tate,2021-09-09,2021-10-28,49,ShortTerm
1287,Daniel,Griffin,2020-09-19,2023-02-20,884,MidTerm
1288,Dakota,Salinas,2022-01-11,2022-10-26,288,ShortTerm
1289,Janiyah,Ballard,2019-07-18,,NULL,LongTerm
1290,Annika,Malone,2021-04-13,,NULL,LongTerm
1291,Celeste,Lin,2023-06-17,2023-07-27,40,ShortTerm
1292,Larissa,Warner,2018-10-27,,NULL,LongTerm
1293,Lawrence,Cross,2021-06-01,2023-04-29,697,MidTerm
1294,Kara,Barnes,2023-04-07,2023-05-07,30,ShortTerm
1295,Emery,Schmidt,2021-06-13,,NULL,LongTerm
1296,Adalyn,Vaughan,2019-03-13,2020-09-12,549,MidTerm
1297,Chase,Lloyd,2019-05-24,2021-10-09,869,MidTerm
1298,Hallie,Delacruz,2023-02-25,,NULL,LongTerm
1299,Tia,Atkins,2020-03-24,,NULL,LongTerm
1300,Nia,Nicholson,2021-06-12,,NULL,LongTerm
1301,Lilian,Norton,2019-03-22,2022-03-23,1097,LongTerm
1302,Aliana,Pennington,2021-03-08,2022-12-17,649,MidTerm
1303,Estrella,Benitez,2020-05-15,,NULL,LongTerm
1304,Kylie,Gilbert,2023-01-24,,NULL,LongTerm
1305,Oscar,Munoz,2021-01-06,2022-12-30,723,MidTerm
1306,Dane,Barton,2021-04-16,,NULL,LongTerm
1307,Dexter,Cline,2021-09-22,2021-10-25,33,ShortTerm
1308,Atticus,Frost,2022-06-28,2023-03-07,252,ShortTerm
1309,Yamilet,Cohen,2020-08-17,,NULL,LongTerm
1310,Emmalee,Reynolds,2023-04-03,2023-07-21,109,ShortTerm
1311,Moshe,Taylor,2023-05-26,2023-06-12,17,ShortTerm
1312,Irene,Melton,2021-04-10,,NULL,LongTerm
1313,Eddie,Whitney,2023-04-18,,NULL,LongTerm
1314,Marcel,Gomez,2021-10-13,2023-06-21,616,MidTerm
1315,Amy,Foster-Baker,2020-10-10,,NULL,LongTerm
1316,Janet,King,2019-01-20,2021-09-15,969,MidTerm
1317,Bonalyn,Boutwell,2021-05-09,2022-10-27,536,MidTerm
1318,Nan,Singh,2023-07-29,2023-08-04,6,ShortTerm
1319,Tyrone,Steans,2019-08-24,2022-12-14,1208,LongTerm
1320,Estelle,Howard,2018-12-25,,NULL,LongTerm
1321,William,LaRotonda,2021-05-27,2021-08-24,89,ShortTerm
1322,Mia,Brown,2023-02-02,2023-06-23,141,ShortTerm
1323,"Leigh Ann",Smith,2022-12-06,,NULL,LongTerm
1324,Peter,Foley,2021-07-23,,NULL,LongTerm
1325,Maximus,Carney,2019-11-16,,NULL,LongTerm
1326,Jaida,Sweeney,2020-03-08,2021-11-07,609,MidTerm
1327,Rhys,Lawson,2019-01-14,,NULL,LongTerm
1328,Skyler,Robles,2020-02-29,2021-09-23,572,MidTerm
1329,Allyson,Keller,2022-11-25,2023-04-12,138,ShortTerm
1330,Eddie,Bauer,2022-09-15,2023-05-05,232,ShortTerm
1331,Roger,Taylor,2021-08-11,,NULL,LongTerm
1332,Marshall,Sellers,2023-08-03,,NULL,LongTerm
1333,Cloe,Mcgrath,2022-03-14,,NULL,LongTerm
1334,Susan,Gordon,2020-09-01,2020-11-29,89,ShortTerm
1335,Makenna,Newton,2021-10-31,,NULL,LongTerm
1336,Kellen,Smith,2020-02-26,2023-03-30,1128,LongTerm
1337,Sherlyn,Carroll,2018-08-10,2021-12-07,1215,LongTerm
1338,Rogelio,Flores,2020-09-30,,NULL,LongTerm
1339,Kadence,Gentry,2021-04-01,2022-08-14,500,MidTerm
1340,Willow,Golden,2021-03-21,2021-11-21,245,ShortTerm
1341,Amiyah,Sims,2021-11-03,,NULL,LongTerm
1342,Jeffery,Hogan,2019-06-22,2019-08-26,65,ShortTerm
1343,Shaniya,Hamilton,2019-11-12,2023-05-19,1284,LongTerm
1344,Johan,Willis,2022-09-20,,NULL,LongTerm
1345,Seth,Alvarez,2023-01-27,,NULL,LongTerm
1346,Aron,Grant,2021-02-21,2022-08-22,547,MidTerm
1347,Haleigh,Carter,2022-03-04,2023-01-18,320,ShortTerm
1348,Tatiana,Ayala,2019-04-21,2020-12-02,591,MidTerm
1349,Kaylynn,Mcguire,2021-08-02,2022-11-26,481,MidTerm
1350,Timothy,Villarreal,2022-03-04,,NULL,LongTerm
1351,Elliott,Petersen,2021-03-28,,NULL,LongTerm
1352,Lily,Tyler,2018-08-08,2023-06-01,1758,LongTerm
1353,Noe,Mann,2020-09-15,2022-01-06,478,MidTerm
1354,Christina,Terry,2020-10-28,2022-02-27,487,MidTerm
1355,Niko,Durham,2021-06-16,2021-11-23,160,ShortTerm
1356,Dante,Strong,2023-03-20,2023-06-21,93,ShortTerm
1357,Angeline,Perez,2018-09-07,2021-07-16,1043,MidTerm
1358,Jairo,Blanchard,2018-11-08,2022-10-28,1450,LongTerm
1359,Rishi,Watkins,2019-01-26,,NULL,LongTerm
1360,Immanuel,Goodwin,2021-08-30,,NULL,LongTerm
1361,Elle,Berry,2023-03-08,2023-03-30,22,ShortTerm
1362,Raphael,Francis,2019-11-10,2020-12-03,389,MidTerm
1363,Hadley,Barrett,2023-07-28,,NULL,LongTerm
1364,Mollie,Jenkins,2019-04-03,2019-08-05,124,ShortTerm
1365,Cali,Nolan,2019-07-24,,NULL,LongTerm
1366,Malik,Crane,2022-04-29,2022-12-11,226,ShortTerm
1367,Bryce,Higgins,2020-10-06,,NULL,LongTerm
1368,Beatrice,Bean,2020-04-04,,NULL,LongTerm
1369,Shea,Novak,2021-03-26,,NULL,LongTerm
1370,Mateo,Mcdaniel,2022-05-19,,NULL,LongTerm
1371,Arianna,Carlson,2021-08-28,2021-10-16,49,ShortTerm
1372,Frankie,Davenport,2022-11-24,,NULL,LongTerm
1373,Morgan,Hammond,2022-01-12,2022-11-11,303,ShortTerm
1374,Judith,Mccullough,2019-07-07,,NULL,LongTerm
1375,Luca,Francis,2021-07-14,,NULL,LongTerm
1376,Mallory,Figueroa,2019-12-03,2022-02-10,800,MidTerm
1377,Larissa,Douglas,2021-03-03,2021-07-10,129,ShortTerm
1378,Konnor,Rivas,2022-06-13,,NULL,LongTerm
1379,Fernanda,Yu,2023-01-23,,NULL,LongTerm
1380,Solomon,Paul,2020-09-06,,NULL,LongTerm
1381,Emiliano,Young,2022-10-17,,NULL,LongTerm
1382,Mason,Ellis,2019-06-07,,NULL,LongTerm
1383,Athena,Moore,2022-01-28,2022-09-16,231,ShortTerm
1384,Karla,Farrell,2020-07-01,2021-03-05,247,ShortTerm
1385,Anderson,Meadows,2020-05-30,,NULL,LongTerm
1386,Jacey,Braun,2019-10-05,2023-02-04,1218,LongTerm
1387,Nathan,Kline,2021-11-06,2023-04-20,530,MidTerm
1388,Gabriella,Benitez,2019-05-09,2020-05-07,364,ShortTerm
1389,Juan,Gonzalez,2019-10-28,,NULL,LongTerm
1390,Cayo,Gonzalez,2019-01-11,,NULL,LongTerm
1391,Taylor,Sparks,2020-04-02,,NULL,LongTerm
1392,Jeanette,Tippett,2019-06-07,2019-08-15,69,ShortTerm
1393,Rose,Ivey,2021-11-22,2022-11-23,366,MidTerm
1394,Elijian,Clukey,2019-01-19,,NULL,LongTerm
1395,Jordan,Winthrop,2021-12-17,2021-12-26,9,ShortTerm
1396,Shari,Ngodup,2019-05-04,2021-02-15,653,MidTerm
1397,John,Kretschmer,2018-12-25,2019-03-11,76,ShortTerm
1398,Debbie,Mangal,2021-01-03,2023-03-08,794,MidTerm
1399,Helen,Billis,2023-06-15,,NULL,LongTerm
1400,Yen,Johnston,2018-08-29,2023-02-09,1625,LongTerm
1401,Hong,Pham,2019-01-04,,NULL,LongTerm
1402,Linda,Bachiochi,2021-09-10,,NULL,LongTerm
1403,Lily,DiNocco,2021-07-08,,NULL,LongTerm
1404,Ned,Miller,2018-11-01,2021-04-29,910,MidTerm
1405,Shana,Petingill,2018-12-08,2022-06-11,1281,LongTerm
1406,Jennifer,Cloninger,2022-10-25,,NULL,LongTerm
1407,Elias,Robinson,2023-04-04,,NULL,LongTerm
1408,Libby,Fidelia,2021-03-17,,NULL,LongTerm
1409,Catherine,Ybarra,2019-03-11,2021-09-06,910,MidTerm
1410,Ashanti,Price,2022-02-25,2023-04-28,427,MidTerm
1411,Makenna,Rojas,2019-07-02,,NULL,LongTerm
1412,Rory,Stone,2019-06-20,,NULL,LongTerm
1413,Ann,Montgomery,2019-09-27,2023-02-08,1230,LongTerm
1414,Erin,Holder,2022-11-15,2023-07-26,253,ShortTerm
1415,Aubrey,Kim,2020-08-22,,NULL,LongTerm
1416,Edward,Love,2020-04-09,,NULL,LongTerm
1417,Paisley,Avery,2021-03-30,,NULL,LongTerm
1418,Kaiden,Leblanc,2018-09-26,,NULL,LongTerm
1419,Shania,Bauer,2023-05-22,,NULL,LongTerm
1420,Danna,Hines,2021-06-04,,NULL,LongTerm
1421,Bennett,Bowen,2019-10-22,2023-07-25,1372,LongTerm
